Auditor Exception Guide;;;;;;;;;;
Country;Payment Type;Expense Type;Exception Description;;;;;Empacadora Perry;Guatemala;Mantenimiento de vehiculo
All;P card;Entertainment - Cargill Employees (Non Meals);Uniformes para empleados de cargill si es permitido y debe categorizarse como Entertainment - Cargill Employees (non meals);;;;;;;
All;T card;Car Rental;Hay que pedir justificación si están rentando una cochera, este gasto no es permitida con ningún medio de pago de Cargill;;;;;;;
All;T card;Conference / Training Fees;Los cursos, certificaiones o algún tipo de capacitación debe de traer VB de RRHH;;;;;;;
Guatemala;Out Of pocket;Miscellaneous Travel Expenses;En Guatemala solicitan reembolsos de caja chica y el soporte es un recibo impreso.;;;;;;;
All;T card;Miscellaneous Travel Expenses;Compra de baterias;;;;;;;
All;T card;Taxi / Rideshare;El parqueo en aeropuerto debe de justificarse, qué el costo del mismo es más economico que tomar un servicio de taxi;;;;;;;
All;P card;Donations & Charities (non-Government only);No deben de superar los $1000, en caso de que soliciten el reembolso de este, no sera permitido. Puede haber una excepción si hay un VB de manager de 2 nivel.;;;;;;;
Costa Rica;P card;Professional Organization Dues;Pagos a Senasa pueden ser por montos muy altos.;;;;;;;
Guatemala;Out Of pocket;Parking;Se puede recibir una sola linea por varios recibos.;;;;;;;
Honduras;Out Of pocket;Parking;Se puede recibir una sola linea por varios recibos.;;;;;;;
All;All;Event Decoration Materials and Services;Se aprueban arreglos florales por temas funebres por cualquier medio de pago.;;;;;;;
All;All;Miscellaneous Travel Expenses;La ropa comprada para llevar a cabo labores de granja o almancenes sí es permitida.;;;;;;;
All;All;Mobile Phone (Non-Company Sponsored);Usuario debe compartir VB o bien mencionar quién de HR le indicó que tenía ese beneficio.;;;;;;;
All;T card;All;Todo gasto realizado con tarjeta corporativa que supere los 45 días debera traer el VB del senior manager o manager de 2 nivel ;;;;;;;
Brazil ;Out Of pocket;Parking;Los pagos de cocheras para vehículos de la empresa están permitidos de manera temporal hasta que el negocio evalue otras opciones para el pago de estas.;;;;;;;
Honduras;Cash Advance;Miscellaneous Travel Expenses;Los usuarios Rony Cerra y Germán López solicitan anticipos para el pago del servicio de electricidad para puestos en ferias. Esto tiene el OK de Keylor González. ;;;;;;;
Honduras;Cash Advance;Donations & Charities (non-Government only);Los usuarios de Honduras pueden solicitar anticipos para patrocinios siempre y cuando adjunten el VB de Jacky Rubio (Controller de HN) y estos no superen los $1,000 dólares.;;;;;;;
Costa Rica;All;Individual Meals;Para CR PIPASA, existe un limite en alimentacion por empleado de 3500 por desayuno y 4500 para almuerzo o cena, para CR CBS, es de 60 USD.;;;;;;;
